lattitude,longitude,time
18.4197,-32.8046,2022-10-12 11:32:10.509684
21.3866,-30.2876,2022-10-12 11:33:11.625350
24.306,-27.6567,2022-10-12 11:34:12.741184
27.1686,-24.8905,2022-10-12 11:35:13.880708
29.963,-21.9668,2022-10-12 11:36:14.998488
32.6765,-18.8619,2022-10-12 11:37:16.117158
35.2949,-15.5497,2022-10-12 11:38:17.228254
37.8014,-12.004,2022-10-12 11:39:18.343849
40.1772,-8.1982,2022-10-12 11:40:19.456500
42.4009,-4.1072,2022-10-12 11:41:20.568268
44.4484,0.2901,2022-10-12 11:42:21.679473
46.2934,5.0081,2022-10-12 11:43:22.793157
47.9204,10.093,2022-10-12 11:44:24.046024
49.274,15.4502,2022-10-12 11:45:25.290377
50.3412,21.09,2022-10-12 11:46:26.403387
51.0977,26.9603,2022-10-12 11:47:27.518850
51.5246,32.989,2022-10-12 11:48:28.634251
51.6108,39.0887,2022-10-12 11:49:29.747844
51.3538,45.1641,2022-10-12 11:50:30.863382
50.7606,51.1236,2022-10-12 11:51:31.981691
49.8465,56.8864,2022-10-12 11:52:33.095064
48.6332,62.3901,2022-10-12 11:53:34.210482
47.1471,67.5935,2022-10-12 11:54:35.324095
45.4162,72.4762,2022-10-12 11:55:36.438784
43.4689,77.0349,2022-10-12 11:56:37.550763
41.3326,81.2786,2022-10-12 11:57:38.662506
39.0324,85.2258,2022-10-12 11:58:39.772760
36.5909,88.8998,2022-10-12 11:59:40.887022
34.0283,92.3269,2022-10-12 12:00:41.997579
31.3625,95.5332,2022-10-12 12:01:43.109206
28.5862,98.5691,2022-10-12 12:02:44.222846
25.7577,101.4104,2022-10-12 12:03:45.336130
22.8669,104.1057,2022-10-12 12:04:46.453367
19.9238,106.6767,2022-10-12 12:05:47.567690
16.9381,109.1431,2022-10-12 12:06:48.676404
13.9175,111.5237,2022-10-12 12:07:49.789647
10.8692,113.8359,2022-10-12 12:08:50.902923
7.8004,116.0956,2022-10-12 12:09:52.013960
4.717,118.3183,2022-10-12 12:10:53.125582
-8.6515,127.8666,2022-10-12 12:15:17.774138
-11.7388,130.1568,2022-10-12 12:16:19.008013
-14.7777,132.4849,2022-10-12 12:17:20.241721
-17.7869,134.886,2022-10-12 12:18:21.488705
-20.7589,137.3776,2022-10-12 12:19:22.741625
-23.7087,140.0001,2022-10-12 12:20:23.963983
-26.5791,142.7316,2022-10-12 12:21:25.192352
-29.3837,145.6148,2022-10-12 12:22:26.427058
-32.1324,148.6994,2022-10-12 12:23:27.654056
-34.7664,151.9603,2022-10-12 12:24:28.888836
-37.2923,155.448,2022-10-12 12:25:30.113365
-39.6919,159.1889,2022-10-12 12:26:31.337095
-41.9625,163.2431,2022-10-12 12:27:32.592072
-44.0434,167.5661,2022-10-12 12:28:33.814443
-45.9283,172.2062,2022-10-12 12:29:35.113591
-47.6023,177.2113,2022-10-12 12:30:36.341377
-49.0098,-177.5081,2022-10-12 12:31:37.573436
-50.1377,-171.9385,2022-10-12 12:32:38.817960
-50.9611,-166.1267,2022-10-12 12:33:40.058352
-51.4626,-160.0907,2022-10-12 12:34:41.287384
-51.6212,-154.0125,2022-10-12 12:35:42.513397
-51.438,-147.9381,2022-10-12 12:36:43.736633
-50.9122,-141.9119,2022-10-12 12:37:45.027734
-50.0659,-136.1153,2022-10-12 12:38:46.257854
